id;type ;fn1;fn2;phoneme;word;sentence
287;TEST_RT;RT69bathe.wav;AT69bathe.wav;the;the;He likes to <b><i>bathe</i></b>
288;TEST_AT;AT69death.wav;RT69death.wav;th;th;What causes sudden <b><i>death</i></b>?
289;TEST_RT;RT69look.wav;AT69look.wav;oo;oo;I always <b><i>look</i></b> good
290;TEST_AT;AT69lot.wav;RT69lot.wav;o;o;I like him a <b><i>lot</i></b>
291;TEST_AT;AT69thanks.wav;RT69thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
292;TEST_AT;AT69those.wav;RT69those.wav;th;th;I want <b><i>those</i></b> shoes
293;TEST_RT;RT69bathe.wav;BT69bathe.wav;the;the;He likes to <b><i>bathe</i></b>
294;TEST_RT;RT69death.wav;BT69death.wav;th;th;What causes sudden <b><i>death</i></b>?
295;TEST_BT;BT69look.wav;RT69look.wav;oo;oo;I always <b><i>look</i></b> good
296;TEST_RT;RT69lot.wav;BT69lot.wav;o;o;I like him a <b><i>lot</i></b>
297;TEST_BT;BT69thanks.wav;RT69thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
298;TEST_RT;RT69those.wav;BT69those.wav;th;th;I want <b><i>those</i></b> shoes
299;TEST_BT;BT60death.wav;AT60death.wav;th;th;What causes sudden <b><i>death</i></b>?
300;TEST_AT;AT60lot.wav;BT60lot.wav;o;o;I like him a <b><i>lot</i></b>
301;TEST_BT;BT60thanks.wav;AT60thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
302;TEST_BT;BT60those.wav;AT60those.wav;th;th;I want <b><i>those</i></b> shoes
303;TEST_AT;AT60death.wav;RT60death.wav;th;th;What causes sudden <b><i>death</i></b>?
304;TEST_AT;AT60lot.wav;RT60lot.wav;o;o;I like him a <b><i>lot</i></b>
305;TEST_AT;AT60thanks.wav;RT60thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
306;TEST_AT;AT60those.wav;RT60those.wav;th;th;I want <b><i>those</i></b> shoes
307;TEST_RT;RT60death.wav;BT60death.wav;th;th;What causes sudden <b><i>death</i></b>?
308;TEST_RT;RT60lot.wav;BT60lot.wav;o;o;I like him a <b><i>lot</i></b>
309;TEST_BT;BT60thanks.wav;RT60thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
310;TEST_RT;RT60those.wav;BT60those.wav;th;th;I want <b><i>those</i></b> shoes
311;TEST_AT;AT74bathe.wav;BT74bathe.wav;the;the;He likes to <b><i>bathe</i></b>
312;TEST_BT;BT74death.wav;AT74death.wav;th;th;What causes sudden <b><i>death</i></b>?
313;TEST_AT;AT74look.wav;BT74look.wav;oo;oo;I always <b><i>look</i></b> good
314;TEST_BT;BT74thanks.wav;AT74thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
315;TEST_BT;BT74those.wav;AT74those.wav;th;th;I want <b><i>those</i></b> shoes
316;TEST_RT;RT74bathe.wav;AT74bathe.wav;the;the;He likes to <b><i>bathe</i></b>
317;TEST_AT;AT74death.wav;RT74death.wav;th;th;What causes sudden <b><i>death</i></b>?
318;TEST_RT;RT74look.wav;AT74look.wav;oo;oo;I always <b><i>look</i></b> good
319;TEST_AT;AT74thanks.wav;RT74thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
320;TEST_AT;AT74those.wav;RT74those.wav;th;th;I want <b><i>those</i></b> shoes
321;TEST_RT;RT74bathe.wav;BT74bathe.wav;the;the;He likes to <b><i>bathe</i></b>
322;TEST_RT;RT74death.wav;BT74death.wav;th;th;What causes sudden <b><i>death</i></b>?
323;TEST_BT;BT74look.wav;RT74look.wav;oo;oo;I always <b><i>look</i></b> good
324;TEST_RT;RT74lot.wav;BT74lot.wav;o;o;I like him a <b><i>lot</i></b>
325;TEST_BT;BT74thanks.wav;RT74thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
326;TEST_RT;RT74those.wav;BT74those.wav;th;th;I want <b><i>those</i></b> shoes
327;TEST_AT;AT58bathe.wav;BT58bathe.wav;the;the;He likes to <b><i>bathe</i></b>
328;TEST_BT;BT58death.wav;AT58death.wav;th;th;What causes sudden <b><i>death</i></b>?
329;TEST_AT;AT58look.wav;BT58look.wav;oo;oo;I always <b><i>look</i></b> good
330;TEST_AT;AT58lot.wav;BT58lot.wav;o;o;I like him a <b><i>lot</i></b>
331;TEST_BT;BT58thanks.wav;AT58thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
332;TEST_BT;BT58those.wav;AT58those.wav;th;th;I want <b><i>those</i></b> shoes
333;TEST_RT;RT58bathe.wav;AT58bathe.wav;the;the;He likes to <b><i>bathe</i></b>
334;TEST_AT;AT58death.wav;RT58death.wav;th;th;What causes sudden <b><i>death</i></b>?
335;TEST_AT;AT58lot.wav;RT58lot.wav;o;o;I like him a <b><i>lot</i></b>
336;TEST_AT;AT58thanks.wav;RT58thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
337;TEST_AT;AT58those.wav;RT58those.wav;th;th;I want <b><i>those</i></b> shoes
338;TEST_RT;RT58bathe.wav;BT58bathe.wav;the;the;He likes to <b><i>bathe</i></b>
339;TEST_RT;RT58death.wav;BT58death.wav;th;th;What causes sudden <b><i>death</i></b>?
340;TEST_RT;RT58lot.wav;BT58lot.wav;o;o;I like him a <b><i>lot</i></b>
341;TEST_BT;BT58thanks.wav;RT58thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
342;TEST_RT;RT58those.wav;BT58those.wav;th;th;I want <b><i>those</i></b> shoes
343;TEST_AT;AT66bathe.wav;BT66bathe.wav;the;the;He likes to <b><i>bathe</i></b>
344;TEST_BT;BT66death.wav;AT66death.wav;th;th;What causes sudden <b><i>death</i></b>?
345;TEST_AT;AT66look.wav;BT66look.wav;oo;oo;I always <b><i>look</i></b> good
346;TEST_AT;AT66lot.wav;BT66lot.wav;o;o;I like him a <b><i>lot</i></b>
347;TEST_BT;BT66thanks.wav;AT66thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
348;TEST_RT;RT66bathe.wav;AT66bathe.wav;the;the;He likes to <b><i>bathe</i></b>
349;TEST_AT;AT66death.wav;RT66death.wav;th;th;What causes sudden <b><i>death</i></b>?
350;TEST_RT;RT66look.wav;AT66look.wav;oo;oo;I always <b><i>look</i></b> good
351;TEST_AT;AT66lot.wav;RT66lot.wav;o;o;I like him a <b><i>lot</i></b>
352;TEST_AT;AT66thanks.wav;RT66thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
353;TEST_RT;RT66bathe.wav;BT66bathe.wav;the;the;He likes to <b><i>bathe</i></b>
354;TEST_RT;RT66death.wav;BT66death.wav;th;th;What causes sudden <b><i>death</i></b>?
355;TEST_BT;BT66look.wav;RT66look.wav;oo;oo;I always <b><i>look</i></b> good
356;TEST_RT;RT66lot.wav;BT66lot.wav;o;o;I like him a <b><i>lot</i></b>
357;TEST_BT;BT66thanks.wav;RT66thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
358;TEST_BT;BT61death.wav;AT61death.wav;th;th;What causes sudden <b><i>death</i></b>?
359;TEST_AT;AT61look.wav;BT61look.wav;oo;oo;I always <b><i>look</i></b> good
360;TEST_AT;AT61lot.wav;BT61lot.wav;o;o;I like him a <b><i>lot</i></b>
361;TEST_BT;BT61thanks.wav;AT61thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
362;TEST_BT;BT61those.wav;AT61those.wav;th;th;I want <b><i>those</i></b> shoes
363;TEST_AT;AT61death.wav;RT61death.wav;th;th;What causes sudden <b><i>death</i></b>?
364;TEST_RT;RT61look.wav;AT61look.wav;oo;oo;I always <b><i>look</i></b> good
365;TEST_AT;AT61lot.wav;RT61lot.wav;o;o;I like him a <b><i>lot</i></b>
366;TEST_AT;AT61thanks.wav;RT61thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
367;TEST_AT;AT61those.wav;RT61those.wav;th;th;I want <b><i>those</i></b> shoes
368;TEST_RT;RT61bathe.wav;BT61bathe.wav;the;the;He likes to <b><i>bathe</i></b>
369;TEST_RT;RT61death.wav;BT61death.wav;th;th;What causes sudden <b><i>death</i></b>?
370;TEST_BT;BT61look.wav;RT61look.wav;oo;oo;I always <b><i>look</i></b> good
371;TEST_RT;RT61lot.wav;BT61lot.wav;o;o;I like him a <b><i>lot</i></b>
372;TEST_BT;BT61thanks.wav;RT61thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
373;TEST_RT;RT61those.wav;BT61those.wav;th;th;I want <b><i>those</i></b> shoes
